,Author,Title,Poem,Category
275,Lyrainthedark,Simple Things,"
	10:52; alone and quite content
	this quiet night and its shining moon
	we console each other, it and I.
	(waking dreams for both of us as time goes by)
	One by one, the stars open up their eyes
	peering at this silent contemplation, conversing
	by the feel of the air, and the memory of distance.
	(the song I have is small, and soft.)
	With delicate fingers, the moon peels out my bones
	to lay glowing on the windowsill;
	one by one, we speak of them with heartstring words.
	(Orion turns and bows, dragging a cloak of light)
	The ends of my hair lift up in wind like fingers.
	Laughing, a wisp of cirrus blocks my path
	the moon sighs; I sigh.
	(and close the curtains)
	The lashed pearls of the night wink, and turn their heads
	my skin is touched by a ghost;
	the shadow of the absinthe moon.
	(the glow of my luminescent bones)
	Bones and the moon and that amazing guitar are wonderful together 
	 

	10:52; alone and quite content

	this quiet night and its shining moon

	we console each other, it and I.

	(waking dreams for both of us as time goes by)

	 

	One by one, the stars open up their eyes

	peering at this silent contemplation, conversing

	by the feel of the air, and the memory of distance.

	(the song I have is small, and soft.)

	 

	With delicate fingers, the moon peels out my bones

	to lay glowing on the windowsill;

	one by one, we speak of them with heartstring words.

	(Orion turns and bows, dragging a cloak of light)

	 

	The ends of my hair lift up in wind like fingers.

	Laughing, a wisp of cirrus blocks my path

	the moon sighs; I sigh.

	(and close the curtains)

	 

	The lashed pearls of the night wink, and turn their heads

	my skin is touched by a ghost;

	the shadow of the absinthe moon.

	(the glow of my luminescent bones)
	Bones and the moon and that amazing guitar are wonderful together  ©  on Nov 19 2012 07:49 PM   night  • thougths  • life  • love  • personal  • hope  • nature  • moon  • quiet  • contemplation  • meditation  • dark  • bones  • discussion     ",Love
276,TheComedyTragedy,"""Il me dit""","
Buttercream kisses of an aeroplane swan across the empty skyline, 
The distant passage of our divide, tidal locked – against our hearts.
An ancient mariner, southern bound with empty sails, a rolling  tongue
To the self speaks, the syllables of our collapsed conjunction;
Here, where the intersection of our hearts did once beat
Now bares resemblance of empty petals, of our bloodied swords.
A Still wilting, foreign thing.  Poison damned; soft, lingering… abhorring…
She never bloomed longer then a single month.
A thousand engines grind past, there in the quiet, red sensitivity –
Still the ocean breathes. Salt in the air. Something bitter sweet in us
Emulsifies. Rain falls. In my eyes where once; 
Turpentine amaranthine stars falling between parallel universes 
Now broken. Such grand designs – simplified. 
A thousand words in bloodied blows. 
Wary. Tired. Eyes. 
Glacial.
He said to me;  c’est la vie.
Il me dit; ""mais il est elle maintenant pour l’amour.""
Buttercream kisses of an aeroplane swan across the empty skyline, 

The distant passage of our divide, tidal locked – against our hearts.

An ancient mariner, southern bound with empty sails, a rolling  tongue

To the self speaks, the syllables of our collapsed conjunction;

	 

Here, where the intersection of our hearts did once beat

Now bares resemblance of empty petals, of our bloodied swords.

A Still wilting, foreign thing.  Poison damned; soft, lingering… abhorring…

She never bloomed longer then a single month.

	 

A thousand engines grind past, there in the quiet, red sensitivity –

Still the ocean breathes. Salt in the air. Something bitter sweet in us

Emulsifies. Rain falls. In my eyes where once; 

	 

Turpentine amaranthine stars falling between parallel universes 

Now broken. Such grand designs – simplified. 

A thousand words in bloodied blows. 

Wary. Tired. Eyes. 

Glacial.

	 

He said to me;  c’est la vie.

Il me dit; ""mais il est elle maintenant pour l’amour."" ©  on Sep 12 2012 04:59 AM, ...   love  • personal  • life  • dark  • spiritual  • nature  • society     ",Love
277,lindaburns,Rain On the Barn Roof,"
 	 
Though the sky all day was leaden
	 
the harvesting must be done.
There was barely enough light for that; 
	 
Just as we brought the last load in
deep voiced thunder shook the land.
The light its cause gave, lit the world.
Surely rain was close at hand.
	 
The house was a far space away
and we were threatened by the weather.
We chose to bed down in the hay
and spend the night there together.
	 
The smell of dry earth being drenched
filled our farmer hearts with gladness.
Sounds of rain on the barns tin roof
drove us to love-brought madness.
	 
With dusty clothes hung on the door
to be washed by driving rain
we lay our revived bodies down
and found passion once again.
	 
 
	 
Though the sky all day was leaden

	 
the harvesting must be done.

There was barely enough light for that; 
the dark clouds so hid the sun.

	 

Just as we brought the last load in

deep voiced thunder shook the land.

The light its cause gave, lit the world.

Surely rain was close at hand.

	 

The house was a far space away

and we were threatened by the weather.

We chose to bed down in the hay

and spend the night there together.

	 

The smell of dry earth being drenched

filled our farmer hearts with gladness.

Sounds of rain on the barns tin roof

drove us to love-brought madness.

	 

With dusty clothes hung on the door

to be washed by driving rain

we lay our revived bodies down

and found passion once again.

	 I don't think this has any trophies. If it does, just delete it or tell me and I will delete it.
	Message:  All work and no play is not how it has to be in farming. ©  on Aug 06 2012 09:24 AM, Linda Burns    life  • love  • nature  • personal  • thoughts     ",Love
278,alongtheway,In The Stillness,"
	The light dances in a coat of water,
	moves the alligator's skin.
	The canal steals the body of an egret,
	and ripples it before the sky.
	Shadows grow upon the ground
	as the sun emerges through
	a cloud,
	and apparitions sprout like white infernos
	in the corners of our vision
	the way stories of ghost ships
	sailed through Saint Elmo's fire.
	And we will fold
	at the first stir of something
	that hasn't yet happened
	if our minds don't run
	far enough  
	from the rustling
	that lives beneath the silence
	of the world.
	. . .
	The light dances in a coat of water,

	moves the alligator's skin.
	The canal steals the body of an egret,
	and ripples it before the sky.
	Shadows grow upon the ground
	as the sun emerges through
	a cloud,
	and apparitions sprout like white infernos
	in the corners of our vision
	the way stories of ghost ships
	sailed through Saint Elmo's fire.
	And we will fold
	at the first stir of something
	that hasn't yet happened
	if our minds don't run
	far enough  
	from the rustling
	that lives beneath the silence
	of the world.
	. . . ©  on Jul 29 2012 04:10 PM   nature  • life  • spiritual  • love  • thoughts     ",Love
279,Delilah27,Delicate,"
	The candle light flickered and danced as it cast their shadows, twisted and strange, onto the empty wall of the living room. There was nothing but the sound of rain running through the gutters and swishing onto the ground. The windows were open, and the breeze was fluttering lightly through the house, bringing with it the smell of fresh rain and the electricity of the storm. The whole house seemed to be buzzing, including them. They laid on a pallet whispering to each other...
	 

	The candle light flickered and danced as it cast their shadows, twisted and strange, onto the empty wall of the living room. There was nothing but the sound of rain running through the gutters and swishing onto the ground. The windows were open, and the breeze was fluttering lightly through the house, bringing with it the smell of fresh rain and the electricity of the storm. The whole house seemed to be buzzing, including them. They laid on a pallet whispering to each other...

	 

	 

	(Not finished yet) ©  on May 01 2012 07:54 PM   delicate  • light  • love  • sweet  • tension  • rain  • stormy  • electric     ",Love
280,Mel Patterson,HONEY,"
	Prompts:  I don't think that I have ever hosted a word bank contest.
	So... I'm going to give it a shot.
	I want you to use all of the words to create a short story if you can. 
	My favorite things word bank: red lipstick, fresh herbs, dandelions, honey, bubble bath, high heels, and novels.
	Give it a go! Have some fun!!!
	I'm looking forward to some great reads tomorrow.
	I seem to have some extra time this week.
	Do not be afraid of length. I'll sit back and soak up every word.
	Just have fun everyone!!!
Honey wanted to look nice for the gentleman who would be coming for dinner. She soaked in a hot bubble bath luxuriating in her spa like tub for an hour or so. After drying, putting on her white robe, she styled her long auburn hair to complement her pretty face, applied her makeup and her red lipstick, then dressed in a black slim fitting dress, her tinted hose and her favorite black high heels. She looked like a model.


 



She started to prepare dinner by using fresh herbs, and dandelions to the main course of veal marsala,  pumpkin soup, waldorf salad,  with chocolate parfeit for dessert.



 


The bell rang, it was him and she let him in; a little kiss, a martini, the main course and a dessert, funny the chocolate parfeit wasn't touched because they decided to read novels instead.


	 
	Prompts:  I don't think that I have ever hosted a word bank contest.
	So... I'm going to give it a shot.
	I want you to use all of the words to create a short story if you can. 
	My favorite things word bank: red lipstick, fresh herbs, dandelions, honey, bubble bath, high heels, and novels.
	Give it a go! Have some fun!!!
	I'm looking forward to some great reads tomorrow.
	I seem to have some extra time this week.
	Do not be afraid of length. I'll sit back and soak up every word.
	Just have fun everyone!!! ©  on Mar 29 2012 08:15 PM, Carmela M. Patterson    contest  • thoughts  • love  • life  • hope     ",Love
281,CarolDesjarlais,Stamped with Grace - For Night Hope,"*for she who burns the night with words

Touch of a key beneath the tip
of a sculpted nail and life is lit
by the smoky bulb in the clinging lamp

she taps what she sees 
in the storm of her head
and the words are wild and rousing and damp

like a lily who waits for the swoon
of the moon in the star-pinned sky
overhead in the writer’s camp

drops thoughts that are jumbled
together in vowels and consonants 
never mind the hours that they tramp

to become a soft hymn, psalms, 
like a pen filled with prayer and a plea
on the mouth of a virgin, a vamp

still she inhales the sight of the poem",Love
282,Ken Cao,A Splash Of Spring,"A splash of spring air on the canvas,a touch of blue skies and clouds like cotton candy,the sun reminding me of the sweet taste of honey. Hills covered with jelly beans and heart shape candies,the sweet smell of fresh bake cookies and tasty pastries. Along the way of tulips and lollipop daisies,the mountains reminded me of ice cream scoops with a cherry on top,even the sparkling river tasted like soda pop. Upon the caramel apple trees,I saw the wondering butterflies and candy corn beesand when the birds sang their song,I could taste it in the air like taffy on my tongue. But even the sweet taste of life cannot fulfill my desire of another,I sat by the caramel apple tree waiting for my lover. With a splash of love,a hint of beauty and tons of sweet candies,suddenly my love appear right next to me.She handed me a heart made out of candy Will you love me forever?With the brush and a gentle touchI wrote across the sunset forever and ever. Within this canvas remains two lovers,infinitely together forever.A splash of spring air on the canvas,
a touch of blue skies and clouds like cotton candy,
the sun reminding me of the sweet taste of honey.
 
Hills covered with jelly beans and heart shape candies,
the sweet smell of fresh bake cookies and tasty pastries.
 
Along the way of tulips and lollipop daisies,
the mountains reminded me of ice cream scoops with a cherry on top,
even the sparkling river tasted like soda pop.
 
Upon the caramel apple trees,
I saw the wondering butterflies and candy corn bees
and when the birds sang their song,
I could taste it in the air like taffy on my tongue.
 
But even the sweet taste of life cannot fulfill my desire of another,
I sat by the caramel apple tree waiting for my lover.
 
With a splash of love,
a hint of beauty and tons of sweet candies,
suddenly my love appear right next to me.
She handed me a heart made out of candy
 
Will you love me forever?
With the brush and a gentle touch
I wrote across the sunset forever and ever.
 
Within this canvas remains two lovers,
infinitely together forever.
 ©  on May 15 2015 11:30 AM   hope  • life  • love  • beauty  • friendship    ",Love
283,tomisb,Search Party  ,"
	I get lost in the details.
	The arc of the hand as she reaches ...
	the shape of a finger nail, the grace of a thumb --
	how quietly the cup meets the saucer.
	She turns and smiles and time
	empties of ticks and tocks again
	I am lost. There are facts 
	cold, hard, and measurable. They
	have no place in discussions of her.
	Her truths are
	divined between her words, how 
	her lips purse and she sips the air --
	as thoughts spiral, 
	she reaches out 
	touches my hand 
	sure she has to 
	get my attention
	(it was never lost.)
	The shower of details, I could 
	surrender and my friends nod.
	I see them getting ready to drum fingers
	as they smile, smile and nod.
	I remember how her hair, caught
	in a breeze, ran across my face.
	Every nerve raced to receive the sensation.
	I am lost. 
	May my friends forgive me.
	And may she -- in the whispers of the morning
	in the silent wing strokes of twilight --
	always shape the sound of my name
	with the beat of her heart in diamond detail.
	11:13 AM
	April 17, 2015
	Stafford, VA
	Prompt:
	“Where does such tenderness come from?”
	BY MARINA TSVETAEVA
	Where does such tenderness come from?
	These aren’t the first curls
	I’ve wound around my finger—
	I’ve kissed lips darker than yours.
	The sky is washed and dark
	(Where does such tenderness come from?)
	Other eyes have known
	and shifted away from my eyes.
	But I’ve never heard words like this
	in the night
	(Where does such tenderness come from?)
	with my head on your chest, rest.
	Where does this tenderness come from?
	And what will I do with it? Young
	stranger, poet, wandering through town,
	you and your eyelashes—longer than anyone’s.
	  ~
	 

	I get lost in the details.

	 

	The arc of the hand as she reaches ...

	the shape of a finger nail, the grace of a thumb --

	how quietly the cup meets the saucer.

	 

	She turns and smiles and time

	empties of ticks and tocks again

	I am lost. There are facts 

	cold, hard, and measurable. They

	have no place in discussions of her.

	Her truths are

	divined between her words, how 

	her lips purse and she sips the air --

	as thoughts spiral, 

	 

	she reaches out 

	touches my hand 

	sure she has to 

	get my attention

	(it was never lost.)

	 

	The shower of details, I could 

	surrender and my friends nod.

	I see them getting ready to drum fingers

	as they smile, smile and nod.

	 

	I remember how her hair, caught

	in a breeze, ran across my face.

	Every nerve raced to receive the sensation.

	I am lost. 

	 

	May my friends forgive me.

	 

	And may she -- in the whispers of the morning

	in the silent wing strokes of twilight --

	always shape the sound of my name

	with the beat of her heart in diamond detail.

	 

	11:13 AM

	April 17, 2015

	Stafford, VA

	Prompt:

	 

	“Where does such tenderness come from?”

	BY MARINA TSVETAEVA



	Where does such tenderness come from?

	These aren’t the first curls

	I’ve wound around my finger—

	I’ve kissed lips darker than yours.


	The sky is washed and dark

	(Where does such tenderness come from?)

	Other eyes have known

	and shifted away from my eyes.


	But I’ve never heard words like this

	in the night

	(Where does such tenderness come from?)

	with my head on your chest, rest.


	Where does this tenderness come from?

	And what will I do with it? Young

	stranger, poet, wandering through town,

	you and your eyelashes—longer than anyone’s.

	  ~

	 
 ©  on Apr 17 2015 08:18 AM, Thomas Burson    life  • love  • spiritual     ",Love
284,stareye9,Ruby Slippers,"

	Connie,
	a 350 pound black drag queen
	was sitting atop a precarious barstool
	She could get down, old school,
	to Aretha and Whitney
	waving those hips
	like there was no tomorrow
	Usually pure sweetness and light
	but, something ticked her off that night
	Most people heard sounds of shrieking,
	and a quick scuffle,
	but the only evidence
	was another pair of toppled high heels
	at the front door
	It was like the tornado hit
	all over again,
	but the ruby slippers
	were still safe and sound
	""The Freaks Come Out At Night""


	Connie,

	a 350 pound black drag queen

	was sitting atop a precarious barstool

	 

	She could get down, old school,

	to Aretha and Whitney

	waving those hips

	like there was no tomorrow

	 

	Usually pure sweetness and light

	but, something ticked her off that night

	 

	Most people heard sounds of shrieking,

	and a quick scuffle,

	but the only evidence

	was another pair of toppled high heels

	at the front door

	 

	It was like the tornado hit

	all over again,

	but the ruby slippers

	were still safe and sound

	 

	 

	 
	""The Freaks Come Out At Night"" ©  on Mar 16 2015 04:56 PM    thoughts  • personal  • life  • love  • society  • weird  • humor     ",Love
285,ukombozi,Night in Midwinter," I remember the long
dark night, cavernous,
no thoughts of the
yellowed sun, the 
snow clad ground
made blue by the mirror
of the black velvet sky,
outside the frosted
window of your little
apartment in that
old northern city.

I remember our lanky limbs
forming  a Celtic knot
in the small hours, quiet
yawns and dreamy
sighs, the language 
of our contentment,
unbroken despite
the whirring sirens
and howling dogs
down below. 

I remember the specter
of morning looming
harsh and tight above",Love
286,Deacon Kane,Comfort,"The early signs of passing times
are the way these things must go,
the lusting lovers, the smiling priests,
the virgin nuns, amidst the catcalls
and the echoes of this city the
years have turned like cartwheels
on the green, grey, ivory of our parks,
and somewhere still a little boy runs out, 
a little lost, a little proud unknowing
of the sights and sounds of women,
the scent of chamomile, the way these wicked
hounds must howl out at the moon,
the way every woman becomes a mother,
the way every man who loves her rests",Love
287,myriad-dark,Ode to the Predator Heart ,"Thoughts coursing,  vernal fluxes
pure as clotting and viscera
eyes watching; causal symphony movements
celebrated in blood letting ties 
promises rendered in flesh and bone
veins flushed 
surging torrents to sweep away
and embrace
moments of pallor
spun into verse and arcs
of contour and form
your bed an epiphany of sheets and sweat
spumes and canopies
sights and sounds -- in tandem cacophony
choral arrangements
such music: earthy and fecund.

Stripped bare of pretence
naked and form in light and shadow
equally tempting
primal with divinity and such desire
your breath, your eyes
burning touch
kisses seeped in sea salt
heart beats and rain tattooing
each drop a rhythmic sigh
majestic and oceanic
tracing valley and vale
o'er the pores of your skin
thigh and buttock
the rushing of blood
like wings beating
nature personified
entwined between each breath
visceral and deep
between the vast seascape 
reflected from your eyes.

How can such magic be contained? 
vestigial light that falls across
your temporal outlines
illuminated in such detail
the predator heart waits to pounce
while shadows pulsate
and I am transfixed
held fast in your venal light.

Such lunar glow illuminates your lampshade skin.




Prompts:

""Some people are left-handed and some are right-handed. We don't know which you are yet cause you just sit there and let me do the handling . . .This is a kiss. It is what happens when lips are puckered up and pressed against something, sometimes other lips, sometimes a cheek, sometimes something else. It depends. . .This is my heart. You are touching it with your left hand, not because you are left-handed, although you might be, but because I am holding it against my heart. What you are feeling is the beating of my heart. It is what keeps me alive.""

Jonathan Safran Foer,
Everything is illuminated, page 43",Love
288,HungryJack,cheer,"
	In the dark forest we went,
	among the scrubs and trees,
	mystical light shafts, and shadows,
	stood an earth fairy, with a glow,
	she had just sprinkled dust
	around the wild flowers,
	a gleam in her cute eyes,
	then she blinked, and smiled,
	and started to hum a special song,
	then skipping to a boogie beat,
	she laughed, and cheered
	the animals and plants.
	Photo prompt
	In the dark forest we went,

	among the scrubs and trees,

	mystical light shafts, and shadows,

	stood an earth fairy, with a glow,

	she had just sprinkled dust

	around the wild flowers,

	 

	a gleam in her cute eyes,

	then she blinked, and smiled,

	and started to hum a special song,

	then skipping to a boogie beat,

	she laughed, and cheered

	the animals and plants.

	 
	Photo prompt ©  on Oct 21 2013 10:00 AM, Jack A Shoultes   contest  • hope  • life  • love  • personal  • thoughts     ",Love
289,Jodi Sandell,Lunatic,"




 LUNATIC

The man and the moon




Gibbous love I come to thee;


Waxing, waning obscurity.





Nebulous lover I seek thee;


Luminously veiled anonymity.





I dance in the shadows upon your skin.


I exist in your dreams in a restless wind.





I waltz in your memory lost in the sound.


I am the rustling of leaves whirling off ground.





I am your zenith. I crest in your night.


I rest in the nadir and breaking of light.





In glistening penumbra crescendo is found


On the face of the moon swollen and round.



 
 








 ©  on Jun 28 2013 03:58 PM, Jodi Sandell   love  • spiritual  • nature  • romance     ",Love
290,YourJuliet,"""a Busy Day on the Farm"" ","my grandparents were up before dawn
 looking out the window - there was no daylight,
 they worked all day and when evening came
 they went to bed when it became night.

the sounds of the morning
 on a farm is always a big delight,
 grandpa grabbed the milk bucket, headed for the barn
 the sun was coming up, but not yet very bright.

several cows would be waiting for him to arrive
 the mules also would be standing very near,
 grandpa emptied the feed into a wooden box
 busy sounds of chewing were so precious to hear.

grandma always wore a feed sack apron
 it would be faded and getting thin,
 apple peelings, a few seeds, or a button to sew on
 she used the pockets to store assorted stuff in.

grandma would be cooking breakfast
 mixing dough for biscuits she planned to bake,
 she fried sausage, eggs and made a skillet of gravy
 these things she knew grandpa on his plate would take.

coffee would be boiling 
sitting on a burner in an old dented pot,
 they liked to make theirs from coffee grounds
 pour a cup and drink while its hot.

in the little glass bowls on the table
 would be sugar, extra spoons and jam,
 sometimes grandma would fry bacon
 or big slices of country ham.

after breakfast it was time to head
 to the front porch and use the broom,
 out in the field the cattle were munching grass
 bees were buzzing 'cause the clover was in bloom.

it was also time to go to the hen house
 grandma gathered eggs and let the chickens roam,
 her dozen or so big fat hens liked to catch bugs
 the red roaster would strut, showing off his stately comb.

the churn held the makings of butter
 lots of hard work lie ahead,
 there was no time to take a nap
 this job must be finished before going to bed.

there was a large garden to plant
 long rows that needed someone to hoe,
 beans, corn, cucumbers, beets and squash
 lots of seeds that she wanted to sow.

in the summer there would be
 loads of canning to be done,
 vegetables, apples and golden ripe pears
 scrub board laundry drying in the sun.

all these things i remember
 as children we often did play,
 spending time on my grandparents farm
 we had adventures in the loft filled with hay.

those childhood days are over
 it's no longer there to see,
 a big white two story farm house
 i have so many treasured memories.
 ©  ",Love
291,Lunostophiles,We Were Art,"
	She sat across the couch,
	A martyr-in-training draped in denim blues,
	Love on her lips and strawberry shellac
	A Botticelli trailer baby.
	I smell of the road,
	Of asphalt singsong summertime blues,
	Whiskey in my mouth and hazy gaze
	Klimt in lumberjack country.  
	Our legs imitate the passing of time,
	Stretching and glancing off one another
	Til intertwining between the crushed velvet
	The wine-dark dirty pillows
	And sun-bleached magazine daydreams;
	We are the prophets of perpetual bohemia
	Fit to live between the micron blades of knives
	Among the filth of art.  
	An intimacy gleaned through self-taught braille,
	The ridges of her thighs becoming Joyce,
	A vowel, a wake of infinite wordiness
	That melted into the Morrison of her calves.
	Her breasts sang Joplin,
	Her hair crooned Fitzgerald,
	And when I pressed my body into hers
	Becoming the Mustang bright cherry red
	I was her Kerouac, all dreamy eyes and beat
	Breathing dawn from her neckline
	And pressing a full moon shine to her form.  
	She sat across the couch,
	Asleep in the embrace of witchfingers of smoke,
	As the robins cheered the setting day
	And I took a drag, and dreamt.
	For a contest, inspired by this picture: http://i.imgur.com/SqjHi.jpg
	The picture made me think of the beat poets and general lavish philosophising of the 1960s.  So I went from there.
	She sat across the couch,

	A martyr-in-training draped in denim blues,

	Love on her lips and strawberry shellac

	A Botticelli trailer baby.

	 

	I smell of the road,

	Of asphalt singsong summertime blues,

	Whiskey in my mouth and hazy gaze

	Klimt in lumberjack country.  

	 

	Our legs imitate the passing of time,

	Stretching and glancing off one another

	Til intertwining between the crushed velvet

	The wine-dark dirty pillows

	And sun-bleached magazine daydreams;

	We are the prophets of perpetual bohemia

	Fit to live between the micron blades of knives

	Among the filth of art.  

	 

	An intimacy gleaned through self-taught braille,

	The ridges of her thighs becoming Joyce,

	A vowel, a wake of infinite wordiness

	That melted into the Morrison of her calves.

	Her breasts sang Joplin,

	Her hair crooned Fitzgerald,

	And when I pressed my body into hers

	Becoming the Mustang bright cherry red

	I was her Kerouac, all dreamy eyes and beat

	Breathing dawn from her neckline

	And pressing a full moon shine to her form.  

	 

	She sat across the couch,

	Asleep in the embrace of witchfingers of smoke,

	As the robins cheered the setting day

	And I took a drag, and dreamt.
	For a contest, inspired by this picture: http://i.imgur.com/SqjHi.jpg

	 

	The picture made me think of the beat poets and general lavish philosophising of the 1960s.  So I went from there. ©  on Dec 03 2012 09:49 PM, Jason Huitt   love  • art  • alive     ",Love
292,troubled times,my last night with you,"his voice broke against rocks
and no lighthouse was there.
my extended hand met nothing in the dark
when it should have touched his skin.

a prophecy-bird took flight from the branch
so that the tides rolled into his eyes
and I feared I was the moon,
carving bits of stars to fall at our feet.

because it meant something only to him
if the trees scraped against the sky,
and i still wasn't so sure that crows 
weren't singing triumph above us-
glory be to those who die.
",Love
293,LauraD,Empty House,"
	An apple picked by a child
	sits on a kitchen counter.
	It holds a story of a day not so long ago.
	A day where there was peace in this house.
	Shattered glass across the hardwood floor
	A tear shed from a heartbroken mother.
	a newspaper that lies on the coffee table.
	Tells the story of a man who was, but no longer is.
	A pricked finger from a thorn on a red rose,
	tells us he was loved-
	Goodbyes
	This is a very personal poem but I would love to know how you guys take it and what you think it is about.
	An apple picked by a child

	sits on a kitchen counter.

	It holds a story of a day not so long ago.

	A day where there was peace in this house.

	 

	Shattered glass across the hardwood floor

	A tear shed from a heartbroken mother.

	a newspaper that lies on the coffee table.

	Tells the story of a man who was, but no longer is.

	 

	A pricked finger from a thorn on a red rose,

	tells us he was loved-

	Goodbyes

	 
	This is a very personal poem but I would love to know how you guys take it and what you think it is about. ©  on Sep 28 2011 09:48 AM   love  • personal  • life  • sad     ",Love
294,Rlm,12:01 on the dot ,"
12:01 on the dot
he came through the door
of my neighborhood bar
on the corner.
 
Always dressed 'to the nines',
a three piece suit,
a joke on his lips
and his shaky hand.
 
We called Pat, ""Shakey"",
a name of endearment 
among the regulars 
and those who knew him.
 
The name was well earned,
67 years in the making,
at a pool table 
he was a disaster.
 
If a drunk
can be elegant
it was Shakey for sure
glass half full with vodka and ice.
 
He sat on His stool,
talked to His people,
had His place 
carved out in life.
 
Wife, kids, siblings and friends,
a mystery,
kept secret,
from all.
 
He was a lawyer,
worked down the street,
spent lunch and happy hour
with His family here in the bar.
 
There were times,
I called him a cab
when His horizon 
tilted left and right.
 
It's been three years now,
His stool remains empty,
every 12:01
I look to the door.
　
Freeversers Contest - Gentleman Drinker by Mickeyboi
One name you couldn't pin on dad was wino. You could call him an alcoholic, a drunk, a lush, a boozer, a souse, a dipsomaniac, an alky, a toper, and even a soaker. But not a wino. That one term enraged him, broke blood vessels on his cheeks and in his eyes. A wino was someone who bummed on street corners with a brown bags with nothing to do but lift bottles like paper pistols to their mouths. Even as he stumbled to his chair, as he flicked hot ash on his work shirt, my father was a gentleman drinker. Always in a glass, usually with ice. Vodka, rum, gin, clear liquids that burned on the tongue, something a man could hold up to the world and distort the light, but not black it out in a grape abyss. He held a job, never drank before noon, rarely filled a glass more than half-way, sipped rather than swallowed, stirred with a spoon rather than a finger. A man has to have standards and the wino has none, he'd say, then lean over and puke in the ashtray.
 
12:01 on the dot

he came through the door

of my neighborhood bar

on the corner.

 

Always dressed 'to the nines',

a three piece suit,

a joke on his lips

and his shaky hand.

 

We called Pat, ""Shakey"",

a name of endearment 

among the regulars 

and those who knew him.

 

The name was well earned,

67 years in the making,

at a pool table 

he was a disaster.

 

If a drunk

can be elegant

it was Shakey for sure

glass half full with vodka and ice.

 

He sat on His stool,

talked to His people,

had His place 

carved out in life.

 

Wife, kids, siblings and friends,

a mystery,

kept secret,

from all.

 

He was a lawyer,

worked down the street,

spent lunch and happy hour

with His family here in the bar.

 

There were times,

I called him a cab

when His horizon 

tilted left and right.

 

It's been three years now,

His stool remains empty,

every 12:01

I look to the door.

　
Freeversers Contest - Gentleman Drinker by Mickeyboi

The Gentleman Drinker


One name you couldn't pin on dad was wino. You could call him an alcoholic, a drunk, a lush, a boozer, a souse, a dipsomaniac, an alky, a toper, and even a soaker. But not a wino. That one term enraged him, broke blood vessels on his cheeks and in his eyes. A wino was someone who bummed on street corners with a brown bags with nothing to do but lift bottles like paper pistols to their mouths. Even as he stumbled to his chair, as he flicked hot ash on his work shirt, my father was a gentleman drinker. Always in a glass, usually with ice. Vodka, rum, gin, clear liquids that burned on the tongue, something a man could hold up to the world and distort the light, but not black it out in a grape abyss. He held a job, never drank before noon, rarely filled a glass more than half-way, sipped rather than swallowed, stirred with a spoon rather than a finger. A man has to have standards and the wino has none, he'd say, then lean over and puke in the ashtray.

© by James Valvis 


  ©  on Aug 18 2011 11:40 AM, Larry   thoughts  • love  • life  • sad  • contest     ",Love
295,Walt Whitman,Seeing Green,"A child said, What is the grass? fetching it to me with full
hands;
How could I answer the child?. . . .I do not know what it
is any more than he.

I guess it must be the flag of my disposition, out of hopeful
green stuff woven.

Or I guess it is the handkerchief of the Lord,
A scented gift and remembrancer designedly dropped,
Bearing the owner's name someway in the corners, that we
may see and remark, and say Whose?

Or I guess the grass is itself a child. . . .the produced babe
of the vegetation.

Or I guess it is a uniform hieroglyphic,
And it means, Sprouting alike in broad zones and narrow
zones,
Growing among black folks as among white,
Kanuck, Tuckahoe, Congressman, Cuff, I give them the
same, I receive them the same.

And now it seems to me the beautiful uncut hair of graves.

Tenderly will I use you curling grass,
It may be you transpire from the breasts of young men,
It may be if I had known them I would have loved them;
It may be you are from old people and from women, and
from offspring taken soon out of their mother's laps,
And here you are the mother's laps.

This grass is very dark to be from the white heads of old
mothers,
Darker than the colorless beards of old men,
Dark to come from under the faint red roofs of mouths.

O I perceive after all so many uttering tongues!
And I perceive they do not come from the roofs of mouths
for nothing.

I wish I could translate the hints about the dead young men
and women,
And the hints about old men and mothers, and the offspring
taken soon out of their laps.

What do you think has become of the young and old men?
What do you think has become of the women and",Love
296,myriad-dark,Stilettos And  A High Powered Gun,"Pull on your red sweater, baby
	The one that fits you oh so tight
	Pull on that red sweater, lady 
	The lights of Broadway are so bright 
	Bring your cigarettes an' zippo, honey 
	We're gonna fire up tonight. 

	Pull on your shiny stilettos, baby  
	Put some ruby lipstick on your lips 
	Pull on those shiny stilettos, lady 
	An' strap a magnum '44 to your hips 
	We got some business down in the ghetto  
	I need your magic thrown into the mix. 

	Pull on your red sweater, baby 
	Put a fascinator in your pretty hair 
	Pull on that red sweater, lady 
	An' a fascinator in your pretty hair 
	Wear your stilettos and a short, short skirt 
	It'll drive 'em all crazy to despair. 

	Put on your shiny stilettos, baby 
	The one's that match your lips so red 
	Put on those shiny stilettos, lady  
	The one's that match your lips so red 
	The way you look is such a sin now 
	So shoot 'em up an' knock 'em dead. 

	  

	  

	  

	  

	  Prompt:",Humor
